Best Overall Rating,Body Type,Club,Height,Height - Split 1,Height - Split 1 (bin),Joined,Kit Number,Loaned From,Name,Nationality,Position,Preferred Foot,Release Clause,Value (bin),Weight,Weight - Split 1,Weight - Split 1 (bin),Work Rate,Age,Contract Valid Until,International Reputation,Player Score Overall,Potential,Skill Moves,Special,Value,Wage,Weak Foot
,Lean (170-185),Varbergs BoIS FC,180cm,180,180,"Jan 8, 2020",8,,L. Le Roux,South Africa,Midfielder,Right,€1.7M,0,70kg,70,70,High/ High,22,2023,1,64,73,2,1780,1.2,0.8,3
,Lean (170-185),Rosario Central,178cm,178,175,"Jul 1, 2020",16,,M. Tanlongo,Argentina,Midfielder,Right,€2.4M,0,68kg,68,65,Medium/ Medium,18,2022,1,65,76,2,1780,1.4,1,3
,Stocky (170-185),AC Monza,182cm,182,180,,4,"<a href=""/team/101059/shakhtar-donetsk/"">Shakhtar Donetsk</a>",Marlon,Brazil,Defender,Right,,0,87kg,87,85,Medium/ Medium,26,,1,73,77,3,1780,3.7,0.8,3
,Normal (170-185),Cerro Largo Fútbol Club,183cm,183,180,"Jan 1, 2022",27,,L. Morales,Uruguay,Midfielder,Right,€3.8M,0,78kg,78,75,Medium/ Medium,22,2022,1,66,73,3,1780,1.6,0.5,3
,Lean (170-185),FC Girondins de Bordeaux,175cm,175,175,"Dec 23, 2020",27,,T. Lacoux,France,Midfielder,Right,€5M,0,66kg,66,65,Medium/ High,20,2024,1,68,78,2,1780,2.5,2,3
,Lean (170-185),Wuhan Three Towns,180cm,180,180,"May 2, 2022",25,,Deng Hanwen,China PR,Defender,Right,€2.4M,0,73kg,73,70,High/ Medium,27,2025,1,69,70,3,1780,1.5,9,3
,Normal (170-185),CD Leganés,174cm,174,170,"Aug 13, 2018",10,,José Arnáiz,Spain,Midfielder,Right,€1.7M,0,70kg,70,70,High/ Medium,27,2023,1,67,67,4,1780,1.1,5,4
,Normal (170-185),Palermo,180cm,180,180,"Sep 28, 2020",14,,J. Broh,Italy,Midfielder,Right,€1.4M,0,71kg,71,70,Medium/ Medium,25,2023,1,64,69,3,1780,0.85,1,3
,Normal (170-185),1. FC Nürnberg,171cm,171,170,"Jul 1, 2019",10,,22 N. Dovedan,Austria,Forward,Right,€2.1M,0,70kg,70,70,Medium/ Medium,26,2022,1,68,68,3,1780,1.3,6,4
,Normal (170-185),Silkeborg IF,178cm,178,175,"Jan 31, 2022",29,,L. Engel,Denmark,Defender,Left,€2.2M,0,72kg,72,70,High/ Medium,23,2027,1,67,73,3,1779,1.5,3,3
,Stocky (170-185),Estudiantes de La Plata,180cm,180,180,"Aug 22, 2020",9,,L. Díaz,Argentina,Forward,Right,€4.5M,0,85kg,85,85,Medium/ Medium,30,2024,1,73,73,3,1779,3,12,2
,Normal (185+),PSV,185cm,185,185,"Jul 1, 2017",4,,A. Obispo,Netherlands,Defender,Left,€9.6M,0,79kg,79,75,Medium/ Medium,23,2025,1,74,80,2,1779,6,12,2
,Normal (185+),Trabzonspor,193cm,193,190,"Aug 10, 2021",14,,A. Cornelius,Denmark,Forward,Left,€10.5M,0,91kg,91,90,Medium/ Medium,29,2025,2,75,75,2,1779,5.5,36,3
,Normal (170-185),Newell's Old Boys,183cm,183,180,"Jan 27, 2022",9,,J. García,Argentina,Forward,Right,€4.5M,0,82kg,82,80,High/ Medium,29,2022,1,73,73,3,1779,3,15,5
,Normal (170-185),,182cm,182,180,,13,,15 M. Velarde,Peru,Midfielder,Right,,0,71kg,71,70,Medium/ Medium,23,,1,67,69,3,1779,0,0,3
,Normal (170-185),FC Viktoria Plzeň,181cm,181,180,"Feb 17, 2022",44,,L. Holík,Czech Republic,Defender,Right,€4.6M,0,78kg,78,75,Medium/ Medium,24,2023,1,70,73,2,1779,2,0.5,3
,Normal (185+),FC Augsburg,185cm,185,185,"Jul 8, 2022",9,,E. Demirović,Bosnia and Herzegovina,Forward,Right,€8.8M,0,76kg,76,75,Medium/ Medium,24,2026,1,73,78,3,1779,4.7,21,3
,Lean (170-185),FSV Zwickau,174cm,174,170,"Jul 1, 2016",13,,M. Könnecke,Germany,Midfielder,Right,€290K,0,70kg,70,70,High/ Medium,33,2023,1,61,61,3,1779,0.2,0.55,4
,Lean (185+),US Cremonese,191cm,191,190,"Jul 17, 2022",18,,P. Ghiglione,Italy,Defender,Right,€3.2M,0,80kg,80,80,Medium/ Medium,25,2025,1,69,71,3,1778,1.7,6,2
,Lean (170-185),SK Sturm Graz,179cm,179,175,"Sep 1, 2019",44,,A. Dante,Mali,Defender,Left,€5.1M,0,70kg,70,70,Medium/ Medium,21,2024,1,69,78,2,1778,3,7,3
,Normal (185+),FC Volendam,187cm,187,185,"Jul 1, 2021",21,,R. Mühren,Netherlands,Forward,Right,€1.1M,0,80kg,80,80,Medium/ Medium,33,2024,1,68,68,3,1778,0.775,4,4
,Lean (170-185),Mansfield Town,180cm,180,180,"Jan 19, 2021",32,,G. Lapslie,England,Midfielder,Right,€1.2M,0,74kg,74,70,High/ Medium,24,2023,1,63,67,2,1778,0.675,4,3
,Normal (185+),VfB Stuttgart,189cm,189,185,"Jul 28, 2020",2,,W. Anton,Germany,Defender,Right,€12.2M,0,86kg,86,85,Medium/ Medium,25,2025,1,75,78,3,1778,6.5,20,3
,Lean (170-185),F.C. Hansa Rostock,177cm,177,175,"Jul 1, 2019",7,,N. Neidhart,Germany,Defender,Right,€1.9M,0,68kg,68,65,High/ High,27,2024,1,68,68,2,1778,1.2,6,4
,Normal (185+),SV Werder Bremen,187cm,187,185,"May 29, 2019",32,,M. Friedl,Austria,Defender,Left,€10.3M,0,82kg,82,80,Medium/ Medium,24,2025,1,74,78,2,1778,5.5,17,2
,Normal (185+),Patronato,188cm,188,185,"Jan 18, 2022",18,,22 L. Barrios,Paraguay,Forward,Right,€689K,0,84kg,84,80,High/ Low,36,2022,3,69,69,3,1778,0.475,6,3
,Lean (185+),FC Red Bull Salzburg,187cm,187,185,"Jan 31, 2022",2,,I. Van der Brempt,Belgium,Defender,Right,€4.9M,0,76kg,76,75,High/ Medium,20,2026,1,67,80,3,1778,2.3,6,3
,Stocky (170-185),Melbourne Victory,175cm,175,175,"Aug 14, 2021",18,,N. D'Agostino,Australia,Forward,Right,€2.3M,0,77kg,77,75,High/ Low,24,2024,1,68,71,2,1778,1.7,4,4
,Lean (170-185),Club Atlético Palmaflor,178cm,178,175,"Jan 6, 2021",30,,22 Jaime Santos,Spain,Forward,Right,€2.4M,0,64kg,64,60,Medium/ Medium,26,2021,1,67,67,4,1777,1.1,0.5,4
,Normal (185+),GD Chaves,190cm,190,190,"Sep 1, 2020",6,,Kevin Pina,Cape Verde Islands,Midfielder,Right,€2.3M,0,83kg,83,80,Medium/ Medium,25,2024,1,67,69,2,1777,1.1,3,3
,Normal (170-),Club Atlético Rentistas,169cm,169,165,"Apr 22, 2021",21,,22 F. Pérez,Uruguay,Midfielder,Left,€2.6M,0,67kg,67,65,High/ Medium,19,2021,1,63,75,4,1777,1.1,0.5,2
,Normal (185+),Lecce,185cm,185,185,"Jan 16, 2021",42,,M. Hjulmand,Denmark,Midfielder,Right,€13M,0,78kg,78,75,Medium/ High,23,2024,1,73,81,3,1777,6.5,11,3
,Normal (170-185),Sport-Club Freiburg,182cm,182,180,"Jul 1, 2015",17,,L. Kübler,Germany,Defender,Right,€6.3M,0,74kg,74,70,Low/ Medium,29,2024,1,74,74,2,1777,3.7,23,2
,Normal (170-185),Unión de Santa Fe,177cm,177,175,"Oct 26, 2020",34,,K. Zenón,Argentina,Midfielder,Left,€6.1M,0,70kg,70,70,Medium/ Medium,21,2023,1,70,80,4,1777,3.6,6,4
,Normal (170-185),Club Atlético Lanús,182cm,182,180,"Jan 21, 2019",9,,J. Sand,Argentina,Forward,Right,,0,79kg,79,75,High/ Low,41,2022,1,74,74,3,1777,0,12,4
,Normal (185+),Hertha BSC,186cm,186,185,"Jan 25, 2022",20,,M. Kempf,Germany,Defender,Left,€9.8M,0,87kg,87,85,High/ Medium,27,2026,2,75,76,2,1777,5.5,25,4
,Normal (185+),Antalyaspor,186cm,186,185,"Jul 1, 2022",22,,Ö. Toprak,Turkey,Defender,Right,€9.8M,0,83kg,83,80,Medium/ Medium,32,2024,2,76,76,2,1777,4.9,24,4
,Lean (170-185),1. FC Kaiserslautern,176cm,176,175,"Jul 1, 2018",21,,H. Zuck,Germany,Defender,Left,€969K,0,69kg,69,65,High/ Medium,31,2023,1,66,66,3,1777,0.625,4,2
,Lean (170-),Club Universitario de Deportes,170cm,170,170,"Jan 14, 2019",27,,22 N. Cabanillas,Peru,Defender,Left,€3.3M,0,66kg,66,65,High/ Medium,20,2024,1,65,72,3,1777,1.4,0.5,3
,Normal (170-185),Wigan Athletic,180cm,180,180,"Jul 1, 2017",19,,C. Lang,England,Midfielder,Right,€5.7M,0,70kg,70,70,High/ Medium,23,2025,1,69,76,3,1777,2.8,5,3
,Lean (170-185),Barracas Central,180cm,180,180,"Feb 6, 2021",3,,G. Paz,Argentina,Defender,Left,€1.5M,0,70kg,70,70,Medium/ High,29,2022,1,68,68,2,1776,1,5,3
,Normal (170-185),PAOK,176cm,176,175,"Jul 1, 2017",19,,L. Lyratzis,Greece,Defender,Right,€7.2M,0,70kg,70,70,Medium/ Medium,22,2025,1,69,77,2,1776,3,0.55,3
,Lean (170-185),FC Basel 1893,180cm,180,180,"Jul 1, 2022",21,,A. Pelmard,France,Defender,Right,€6.6M,0,68kg,68,65,Medium/ Medium,22,2025,1,71,79,2,1776,3.9,10,4
,Normal (170-185),Willem II,174cm,174,170,"Jul 1, 2020",13,,22 L. Owusu,Netherlands,Defender,Right,€1.5M,0,68kg,68,65,High/ Medium,24,2023,1,65,70,3,1776,1,2,3
,Lean (170-),WSG Tirol,170cm,170,170,"Aug 24, 2020",21,,Ž. Rogelj,Slovenia,Midfielder,Right,€2.8M,0,65kg,65,65,High/ High,22,2023,1,66,73,3,1776,1.7,3,3
,Normal (170-),Cusco Fútbol Club,165cm,165,165,"Jan 1, 2017",10,,21 A. Ramúa,Argentina,Midfielder,Right,€1.9M,0,68kg,68,65,High/ Medium,33,2022,1,69,69,3,1776,0.875,0.5,4
,Normal (170-185),Djurgårdens IF,177cm,177,175,"Jan 23, 2022",19,,P. Bengtsson,Sweden,Defender,Left,€313K,0,74kg,74,70,High/ Medium,34,2022,1,65,65,2,1776,0.25,2,2
,Lean (170-185),SL Benfica,184cm,184,180,"Jul 1, 2017",61,,Florentino,Portugal,Midfielder,Right,€35.2M,9,74kg,74,70,Medium/ High,22,2024,1,76,85,2,1776,16,11,2
,Normal (185+),Fulham,186cm,186,185,"Aug 20, 2015",13,,T. Ream,United States,Defender,Left,€998K,0,80kg,80,80,Medium/ Medium,34,2023,1,70,70,2,1776,0.525,26,3
,Lean (185+),Cosenza,186cm,186,185,"Feb 3, 2022",9,,J. Larrivey,Argentina,Forward,Right,€1.6M,0,82kg,82,80,Medium/ Low,37,2023,1,73,73,3,1776,1,3,3
,Normal (170-185),Club Always Ready,180cm,180,180,"Feb 8, 2022",30,,E. Rivera,Bolivia,Midfielder,Right,€1.5M,0,75kg,75,75,Medium/ High,32,2022,1,66,66,3,1775,0.675,0.5,3
,Stocky (170-185),Royal Charleroi S.C.,183cm,183,180,"Oct 5, 2020",4,,J. Van Cleemput,Belgium,Defender,Right,€3.3M,0,73kg,73,70,Medium/ High,25,2023,1,70,75,2,1775,2.1,8,3
,Lean (170-185),Guangzhou FC,179cm,179,175,"Jan 1, 2018",17,,Yang Liyu,China PR,Midfielder,Right,€2.1M,0,65kg,65,65,Medium/ Medium,25,2022,1,67,69,3,1775,1.3,4,2
,Lean (170-185),Atakaş Hatayspor,184cm,184,180,"Aug 4, 2021",9,,D. Saint-Louis,Congo,Forward,Right,€2.6M,0,78kg,78,75,High/ Medium,27,2024,1,68,68,4,1775,1.3,6,4
,Lean (170-185),Malmö FF,179cm,179,175,"Mar 3, 2021",19,,V. Birmančević,Serbia,Forward,Right,€3.8M,0,67kg,67,65,High/ Low,24,2025,1,70,76,3,1774,2.5,5,3
,Lean (185+),Empoli,191cm,191,190,,33,"<a href=""/team/48/napoli/"">Napoli</a>",S. Luperto,Italy,Defender,Left,,0,75kg,75,75,Low/ Medium,25,,1,73,76,2,1774,3.6,31,3
,Normal (170-185),Club Guaraní,172cm,172,170,"Jul 1, 2019",30,,21 R. Fernández,Uruguay,Midfielder,Right,€2.4M,0,74kg,74,70,High/ High,24,2021,1,65,70,2,1774,1.1,0.5,3
,Normal (170-185),Hannover 96,180cm,180,180,"Jul 1, 2022",18,,D. Köhn,Germany,Defender,Left,€2.7M,0,73kg,73,70,Medium/ Medium,23,2025,1,65,73,2,1774,1.5,6,3
,Normal (185+),Viborg FF,186cm,186,185,"Aug 31, 2018",17,,J. Bonde,Denmark,Midfielder,Left,€906K,0,75kg,75,75,High/ Medium,28,2024,1,65,65,2,1774,0.725,3,3
,Normal (185+),FC Groningen,193cm,193,190,"Sep 9, 2020",9,,J. Larsen,Norway,Forward,Right,€11.6M,0,86kg,86,85,High/ Low,22,2024,1,73,82,3,1774,7,8,3
,Normal (170-185),Vélez Sarsfield,173cm,173,170,"Jul 1, 2019",24,,T. Guidara,Argentina,Defender,Right,€5.8M,0,70kg,70,70,High/ High,26,2024,1,73,76,3,1774,3.7,12,2
,Lean (185+),DSC Arminia Bielefeld,187cm,187,185,"Jul 1, 2016",19,,M. Prietl,Austria,Midfielder,Right,€3.2M,0,79kg,79,75,Medium/ High,30,2024,1,72,72,2,1773,2,13,3
,Stocky (170-185),Godoy Cruz,175cm,175,175,,28,"<a href=""/team/1876/river-plate/"">River Plate</a>",E. López,Argentina,Defender,Right,,0,76kg,76,75,High/ Medium,21,,1,66,73,3,1773,1.6,3,3
,Stocky (170-185),Doncaster Rovers,176cm,176,175,"Jan 1, 2011",45,,12 H. Bamogo,Burkina Faso,Forward,Right,,0,72kg,72,70,Medium/ Medium,29,2012,2,69,69,3,1773,0.675,5,3
,Normal (170-185),U.C. Sampdoria,180cm,180,180,"Sep 1, 2020",3,,T. Augello,Italy,Defender,Left,€4.1M,0,70kg,70,70,High/ Medium,27,2025,1,72,72,2,1773,2.3,13,2
,Normal (170-185),Bolton Wanderers,177cm,177,175,"Jan 1, 2022",10,,D. Charles,Northern Ireland,Forward,Right,€2M,0,67kg,67,65,High/ High,26,2025,1,66,69,2,1773,1.1,5,4
,Lean (170-185),Jeonbuk Hyundai Motors,177cm,177,175,"Jul 20, 2020",11,,M. Barrow,Gambia,Forward,Left,€2.1M,0,60kg,60,60,Medium/ Low,29,2022,1,70,70,5,1773,1.6,7,2
,Lean (170-185),Unión Deportiva Las Palmas,177cm,177,175,"Jan 2, 2019",6,,Eric Curbelo,Spain,Defender,Right,€4.9M,0,77kg,77,75,High/ Medium,28,2024,1,73,74,2,1773,2.9,8,5
,Stocky (170-),Club Atlético Aldosivi,170cm,170,170,,29,"<a href=""/team/110093/club-atletico-independiente/"">Club Atlético Independiente</a>",B. Martínez,Argentina,Midfielder,Right,,0,75kg,75,75,High/ Medium,22,,1,68,75,4,1773,2.5,6,3
,Normal (185+),Sporting CP,185cm,185,185,"Jul 1, 2019",25,,Gonçalo Inácio,Portugal,Defender,Left,€79.2M,35,78kg,78,75,Medium/ High,20,2026,1,79,88,2,1773,36,11,2
,Normal (170-185),Mamelodi Sundowns FC,181cm,181,180,"Oct 9, 2020",25,,K. Mudau,South Africa,Defender,Right,€3.3M,0,73kg,73,70,High/ Medium,27,2027,1,70,70,2,1773,1.5,0.7,2
,Normal (170-185),Unión Deportiva Almería,175cm,175,175,"Jul 7, 2021",15,,Akieme,Spain,Defender,Left,€10.8M,0,70kg,70,70,Medium/ Medium,24,2026,1,72,79,3,1773,4.5,14,3
,Stocky (170-185),Seattle Sounders FC,178cm,178,175,"Jan 25, 2017",5,,Nouhou,Cameroon,Defender,Left,€3.6M,0,79kg,79,75,Medium/ High,25,2023,1,71,74,3,1773,2.3,5,2
,Normal (170-185),Hannover 96,181cm,181,180,"Jul 19, 2021",20,,J. Dehm,Germany,Defender,Right,€2.5M,0,73kg,73,70,Medium/ High,26,2023,1,68,71,3,1772,1.5,10,3
,Normal (185+),Ümraniyespor,188cm,188,185,"Jun 9, 2022",39,,A. Mršić,Croatia,Midfielder,Left,€683K,0,80kg,80,80,Medium/ Medium,35,2023,1,66,66,3,1772,0.35,3,4
,Normal (170-185),Silkeborg IF,174cm,174,170,"Aug 3, 2020",21,,A. Klynge,Denmark,Midfielder,Right,€2.3M,0,70kg,70,70,Medium/ Medium,21,2025,1,65,73,2,1772,1.6,2,2
,Normal (185+),RCD Espanyol de Barcelona,190cm,190,190,"Jan 20, 2020",4,,L. Cabrera,Uruguay,Defender,Left,€8M,0,82kg,82,80,Low/ High,31,2024,1,75,75,2,1772,3.8,17,2
,Normal (170-),Nagoya Grampus,167cm,167,165,"Jan 9, 2021",17,,22 R. Morishita,Japan,Midfielder,Right,€994K,0,69kg,69,65,High/ Medium,24,2023,1,64,67,2,1772,0.75,1,3
,Normal (170-185),Luton Town,178cm,178,175,"Sep 1, 2020",2,,J. Bree,England,Defender,Right,€4.9M,0,74kg,74,70,High/ Medium,24,2023,1,71,75,2,1772,2.5,17,3
,Lean (170-185),FC Metz,178cm,178,175,"Jul 1, 2020",20,,L. Gueye,Senegal,Midfielder,Right,€6.4M,0,74kg,74,70,Medium/ Low,24,2024,1,72,76,3,1772,3.4,6,3
,Lean (185+),Leicester City,190cm,190,190,"Oct 2, 2020",3,,W. Fofana,France,Defender,Right,€69.3M,26,76kg,76,75,Medium/ High,21,2027,1,79,86,2,1772,33,55,3
,Normal (170-),Chicago Fire Football Club,170cm,170,170,"Aug 6, 2021",31,,F. Navarro,Argentina,Midfielder,Right,€5.3M,0,69kg,69,65,High/ High,22,2025,1,69,81,2,1772,3.2,3,3
,Lean (170-185),Campionii FC Arges,175cm,175,175,"Jul 1, 2022",70,,A. Jakolis,Croatia,Forward,Right,€675K,0,67kg,67,65,High/ Medium,30,2025,1,64,64,4,1771,0.5,2,3
,Normal (185+),Frosinone,185cm,185,185,"Dec 22, 2020",11,,D. Boloca,Italy,Midfielder,Right,€6.5M,0,80kg,80,80,Medium/ Medium,23,2025,1,71,78,2,1771,3.7,2,3
,Normal (185+),FC Seoul,187cm,187,185,"Jul 12, 2022",90,,S. Iljutcenko,Russia,Forward,Right,€3.3M,0,82kg,82,80,High/ Medium,31,2022,1,73,73,3,1771,2.6,8,4
,Normal (185+),Real Sporting de Gijón,187cm,187,185,"Jul 1, 2018",6,,José Gragera,Spain,Midfielder,Right,€4.7M,0,81kg,81,80,Medium/ High,22,2024,1,68,78,2,1771,2.6,4,3
,Normal (170-185),Aalesunds FK,181cm,181,180,"Jan 9, 2020",11,,S. Nordli,Norway,Midfielder,Right,€3.3M,0,78kg,78,75,High/ Medium,22,2022,1,67,75,3,1771,2.3,2,3
,Lean (185+),KAA Gent,193cm,193,190,"Jul 1, 2021",2,,J. Okumu,Kenya,Defender,Right,€6.3M,0,75kg,75,75,Medium/ High,25,2025,1,73,78,2,1771,4,16,3
,Lean (170-185),Rosenborg BK,171cm,171,170,"Aug 13, 2019",20,,E. Tagseth,Norway,Defender,Left,€1.6M,0,67kg,67,65,Medium/ Medium,21,2024,1,63,74,3,1771,1.1,1,3
,Normal (185+),Luton Town,193cm,193,190,"Feb 1, 2021",11,,E. Adebayo,England,Forward,Right,€6.7M,0,89kg,89,85,High/ Medium,24,2024,1,72,76,3,1770,3.4,23,3
,Lean (170-185),Lazio,184cm,184,180,"Jul 1, 2011",11,,16 M. Klose,Germany,Forward,Right,,0,84kg,84,80,Medium/ Low,37,2016,4,79,79,2,1770,1.3,80,4
,Stocky (170-),Orlando Pirates,160cm,160,160,"Aug 26, 2021",46,,K. Peprah,Ghana,Forward,Left,€6.5M,0,75kg,75,75,High/ Medium,21,2024,1,68,79,2,1770,2.7,0.5,4
,Lean (170-185),Randers FC,178cm,178,175,"Aug 24, 2020",10,,T. Kehinde,Nigeria,Midfielder,Right,€2.8M,0,75kg,75,75,High/ Medium,24,2023,1,69,74,3,1770,2.1,6,3
,Normal (170-185),Barnsley,178cm,178,175,"Jul 29, 2021",10,,J. Benson,England,Midfielder,Right,€1.8M,0,76kg,76,75,Medium/ Medium,22,2025,1,64,70,2,1770,0.925,3,3
,Normal (170-185),Club Atlético Talleres,178cm,178,175,"Aug 6, 2021",18,,R. Villagra,Argentina,Midfielder,Right,€5.1M,0,76kg,76,75,Medium/ Medium,21,2025,1,69,79,2,1770,3,5,3
,Normal (170-185),Pachuca,176cm,176,175,"Jul 1, 2019",30,,22 R. Ibarra,Ecuador,Midfielder,Right,€2.6M,0,77kg,77,75,High/ Low,26,2024,1,69,69,3,1770,1.5,9,4
,Normal (185+),FC Twente,190cm,190,190,"Jul 1, 2021",3,,R. Pröpper,Netherlands,Defender,Right,€3.5M,0,78kg,78,75,Medium/ High,28,2024,1,72,73,2,1770,2.2,10,4
,Normal (170-),FC Annecy,170cm,170,170,"Jun 28, 2021",23,,A. Bosetti,France,Forward,Right,€1.8M,0,65kg,65,65,High/ Medium,29,2024,1,67,67,3,1770,1,2,3
,Normal (170-185),West Bromwich Albion,183cm,183,180,"Jul 23, 2019",2,,D. Furlong,England,Defender,Right,€5.5M,0,75kg,75,75,Medium/ Medium,26,2025,1,72,75,3,1770,2.8,22,3
,Lean (170-185),Ulsan Hyundai FC,180cm,180,180,"Feb 24, 2022",9,,Leonardo,Brazil,Forward,Right,€4.5M,0,77kg,77,75,High/ Medium,25,2022,1,72,76,3,1770,3.3,9,3
,Normal (170-185),Petrolul Ploiești,181cm,181,180,"Jul 1, 2019",5,,V. Ticu,Romania,Midfielder,Left,€2.3M,0,76kg,76,75,Medium/ High,21,2024,1,65,75,2,1769,1.5,1,2
,Lean (170-),C.D. Universidad Católica del Ecuador,170cm,170,170,"Jan 8, 2020",14,,J. Carabalí,Ecuador,Defender,Left,€2.9M,0,73kg,73,70,High/ Low,25,2022,1,67,71,3,1769,1.3,0.5,3
,Normal (170-),Yokohama F. Marinos,170cm,170,170,"Jan 1, 2013",8,,22 T. Kida,Japan,Midfielder,Right,€2.9M,0,64kg,64,60,Medium/ High,26,2023,1,71,73,2,1769,2.1,8,3
,Normal (170-185),Stade de Reims,180cm,180,180,"Jun 17, 2020",28,,B. Locko,France,Defender,Left,€7.3M,0,65kg,65,65,Medium/ Medium,20,2023,1,70,79,2,1769,3.3,9,2
,Lean (185+),Queens Park Rangers,185cm,185,185,"Jun 9, 2021",15,,S. Field,England,Midfielder,Left,€5M,0,65kg,65,65,Low/ High,24,2024,1,68,75,2,1769,2.4,12,3
,Normal (185+),Real Oviedo,188cm,188,185,"Aug 10, 2021",9,,Borja Bastón,Spain,Forward,Right,€8.8M,0,82kg,82,80,Medium/ Medium,29,2023,2,75,75,3,1769,5.5,12,4
,Normal (170-),Kawasaki Frontale,169cm,169,165,"Feb 1, 2020",8,,22 K. Tachibanada,Japan,Midfielder,Right,€2.3M,0,68kg,68,65,Medium/ Medium,23,2023,1,68,73,3,1769,1.7,4,4
,Normal (170-185),SK Slavia Praha,175cm,175,175,"Jun 17, 2022",22,,Ewerton,Brazil,Midfielder,Right,€12.5M,0,73kg,73,70,High/ Low,25,2025,1,74,76,3,1769,5.5,1,3
,Normal (170-),Houston Dynamo,166cm,166,165,"Nov 13, 2019",23,,D. Quintero,Colombia,Forward,Right,€1.6M,0,66kg,66,65,Medium/ Low,34,2022,1,72,72,4,1769,1.1,7,3
,Normal (170-185),Universidad Católica,174cm,174,170,"Jul 1, 2016",8,,I. Saavedra,Chile,Midfielder,Right,€4.5M,0,73kg,73,70,Medium/ Medium,23,2022,1,69,76,2,1769,2.8,5,3
,Normal (170-185),Deportivo Toluca,174cm,174,170,"Jul 1, 2017",8,,22 K. Castañeda,Mexico,Midfielder,Right,€5.9M,0,79kg,79,75,High/ Medium,21,2022,1,69,78,2,1769,3.1,8,3
,Normal (170-185),9 de Octubre,177cm,177,175,"Jan 4, 2021",14,,R. Jaramillo,Ecuador,Midfielder,Right,€2.7M,0,72kg,72,70,Medium/ High,24,2023,1,66,71,3,1769,1.2,0.5,3
,Normal (185+),Club Atlético Independiente,188cm,188,185,"Feb 18, 2021",33,,J. Insaurralde,Argentina,Defender,Left,€638K,0,87kg,87,85,Medium/ Medium,37,2022,1,72,72,2,1769,0.425,7,3
,Normal (170-185),Everton,180cm,180,180,"Jan 1, 2022",19,,V. Mykolenko,Ukraine,Defender,Left,€30.5M,9,71kg,71,70,High/ Medium,23,2026,1,76,83,2,1768,14.5,29,2
,Normal (170-185),Hammarby IF,182cm,182,180,"Jul 15, 2022",30,,S. Pinas,Suriname,Defender,Left,€2.3M,0,67kg,67,65,High/ Medium,24,2025,1,66,73,2,1768,1.6,2,3
,Lean (170-185),Sociedad Deportiva Aucas,182cm,182,180,"Jul 11, 2017",28,,22 J. Quiñónez,Ecuador,Midfielder,Right,€2.8M,0,72kg,72,70,Medium/ Medium,23,2022,1,64,72,2,1768,1.2,0.5,3
,Lean (170-185),Colo-Colo,178cm,178,175,"Jul 1, 2015",17,,G. Suazo,Chile,Defender,Left,€1.8M,0,72kg,72,70,Medium/ High,24,2022,1,67,69,3,1768,1.2,2,2
,Normal (170-185),Racing Club de Lens,180cm,180,180,"Aug 20, 2019",24,,J. Gradit,France,Defender,Right,€8.9M,0,75kg,75,75,Medium/ High,29,2024,1,75,75,2,1768,4.7,28,2
,Normal (170-),Cerro Largo Fútbol Club,168cm,168,165,"Aug 21, 2021",23,,A. Máx,Argentina,Midfielder,Right,€1.9M,0,70kg,70,70,Medium/ High,29,2022,1,67,67,2,1768,0.875,0.5,3
,Stocky (185+),Royal Charleroi S.C.,186cm,186,185,"Jul 1, 2021",38,,J. Tchatchoua,Belgium,Defender,Right,€3.4M,0,76kg,76,75,High/ High,21,2026,1,66,78,2,1768,2,3,4
,Normal (170-185),Aberdeen,175cm,175,175,"Jan 24, 2020",33,,M. Kennedy,Northern Ireland,Midfielder,Right,€1.3M,0,68kg,68,65,High/ High,27,2023,1,65,65,3,1768,0.75,2,2
,Lean (185+),Al Faisaly,195cm,195,195,"Jul 1, 2006",4,,19 F. Al Ansari,Kuwait,Midfielder,Right,€2.6M,0,73kg,73,70,Medium/ Medium,31,2023,1,71,71,3,1767,1.6,15,3
,Normal (170-185),Platense,182cm,182,180,"Oct 1, 2020",26,,I. Schor,Argentina,Midfielder,Right,€7.1M,0,74kg,74,70,High/ High,21,2023,1,71,81,4,1767,4.2,7,3
,Lean (170-185),Sportclub Verl,180cm,180,180,"Jan 8, 2021",27,,M. Corboz,United States,Midfielder,Right,€1.1M,0,76kg,76,75,Medium/ Medium,27,2023,1,65,65,2,1767,0.75,0.8,5
,Normal (185+),Newcastle Jets,185cm,185,185,"Jul 2, 2021",9,,B. Mikeltadze,Georgia,Forward,Right,€3.2M,0,77kg,77,75,High/ High,24,2023,1,70,75,3,1767,2.4,2,4
,Lean (170-),FC Utrecht,168cm,168,165,"Jul 1, 2018",26,,O. Boussaid,Belgium,Midfielder,Right,€3.2M,0,62kg,62,60,Medium/ Medium,22,2024,1,68,74,3,1767,1.9,6,4
,Normal (170-185),BSC Young Boys,183cm,183,180,"Jun 19, 2018",21,,U. Garcia,Switzerland,Defender,Left,€4.3M,0,82kg,82,80,High/ Medium,26,2024,1,72,74,3,1767,2.7,15,3
,Normal (170-185),Wrexham AFC,178cm,178,175,"Jul 23, 2021",10,,P. Mullin,England,Forward,Right,€2.7M,0,71kg,71,70,High/ Medium,27,2025,1,67,68,3,1767,1.2,0.5,3
